"time","mean","stdev","min","max","q1","q3","median","('s9', 's18')","('s9', 's8')","('s9', 's7')","('s9', 's6')","('s9', 's10')","('s8', 's7')","('s8', 's5')","('s3', 's2')","('s3', 's1')","('s3', 's6')","('s2', 's12')","('s2', 's1')","('s1', 's4')","('s7', 's20')","('s7', 's25')","('s6', 's12')","('s6', 's10')","('s6', 's4')","('s5', 's25')","('s5', 's27')","('s5', 's4')","('s19', 's20')","('s19', 's18')","('s19', 's17')","('s19', 's21')","('s18', 's20')","('s18', 's17')","('s13', 's11')","('s13', 's16')","('s13', 's15')","('s13', 's14')","('s12', 's11')","('s11', 's10')","('s11', 's16')","('s10', 's16')","('s17', 's16')","('s17', 's15')","('s17', 's14')","('s15', 's14')","('s30', 's28')","('s30', 's29')","('s30', 's24')","('s22', 's23')","('s22', 's21')","('s22', 's24')","('s23', 's28')","('s23', 's26')","('s23', 's24')","('s20', 's26')","('s20', 's21')","('s26', 's25')","('s27', 's28')","('s27', 's29')","('s27', 's25')","('s25', 's28')","('s28', 's29')"
4.9,2.76785714286,2.61855379544,0,13,1.0,4.0,2.0,4,3,5,7,5,2,3,0,1,2,1,3,8,5,5,4,4,9,5,4,13,0,0,1,3,4,4,0,5,1,0,1,2,1,7,4,2,1,0,2,1,1,0,4,2,0,0,0,2,4,2,0,2,1,5,0
5.0,2.875,2.6730299822,0,13,1.0,4.0,2.0,7,2,4,7,6,2,3,0,1,2,1,2,7,5,4,3,5,10,5,4,13,0,1,2,4,4,4,0,4,1,0,1,4,1,7,5,2,1,0,2,1,1,0,5,3,0,0,0,2,4,2,0,2,1,4,0
5.1,2.875,2.61904085497,0,12,1.0,4.0,2.0,7,2,4,7,6,2,3,0,1,2,2,2,7,5,4,4,5,9,5,3,12,0,0,2,4,4,4,0,4,1,0,1,4,1,8,6,2,1,0,2,1,1,0,5,3,0,0,0,2,4,2,0,2,1,4,0
5.2,3.17857142857,2.93444532881,0,14,1.0,4.25,2.5,7,2,4,7,6,2,3,0,1,2,3,3,8,5,4,4,6,10,6,4,14,0,0,2,4,4,4,0,5,1,0,2,4,2,10,6,2,1,0,2,1,1,0,6,3,0,0,0,2,5,3,0,2,1,4,0
5.3,2.91071428571,2.67446113207,0,14,1.0,4.0,2.0,7,1,4,6,4,2,3,0,1,2,3,2,6,5,4,5,4,9,7,3,14,0,1,2,4,4,3,0,5,1,0,2,3,2,7,5,2,0,0,2,1,1,0,5,3,1,0,0,2,4,2,0,2,1,6,0
5.4,2.625,2.48971097003,0,13,1.0,4.0,2.0,6,1,4,6,4,2,3,0,1,2,3,2,6,4,3,5,3,7,6,3,13,0,0,3,5,1,1,0,5,1,0,2,3,1,7,4,1,0,0,2,1,1,1,6,3,1,0,0,1,2,3,0,2,1,5,0
5.5,2.42857142857,2.30571605594,0,12,1.0,4.0,2.0,5,1,4,5,5,1,2,0,1,2,3,2,5,3,3,5,2,5,6,3,12,0,0,3,5,1,0,0,4,1,0,2,3,1,7,4,1,0,0,2,1,1,1,6,3,1,1,0,2,2,2,0,2,0,5,0
5.6,2.55357142857,2.50656027012,0,13,1.0,4.0,2.0,5,2,5,7,5,1,2,0,1,2,3,2,6,3,3,6,2,5,6,4,13,0,0,3,5,1,0,0,4,1,0,1,3,0,7,4,1,0,0,2,1,1,1,6,3,1,1,0,1,3,2,1,2,0,5,0
5.7,2.53571428571,2.50687829292,0,12,1.0,4.0,2.0,5,1,4,6,3,1,0,0,1,2,3,2,6,4,3,5,2,5,8,4,12,0,0,3,5,2,1,0,4,1,0,0,2,0,8,5,2,0,0,3,1,1,1,6,3,1,1,0,1,3,2,0,2,1,6,0
5.8,2.41071428571,2.45514609483,0,12,0.0,4.0,2.0,5,1,4,6,3,1,0,0,1,2,3,2,6,4,3,5,2,5,7,3,12,0,0,3,4,2,1,0,4,1,0,0,2,0,8,5,2,0,0,2,1,1,1,6,3,1,0,0,0,3,2,0,2,1,5,0
5.9,2.28571428571,2.35822485989,0,11,0.75,3.0,2.0,5,1,2,6,3,1,0,0,1,3,3,2,5,4,1,4,3,5,7,3,11,0,0,3,4,2,2,0,4,1,0,0,2,0,9,6,2,0,0,1,1,1,1,5,3,1,0,0,0,3,1,1,2,1,2,0
6.0,2.16071428571,2.1694040139,0,10,1.0,3.0,1.5,3,1,2,4,3,0,0,0,1,2,3,2,4,4,2,4,3,5,7,2,10,1,0,4,4,1,1,0,4,1,0,0,1,0,9,6,2,1,0,1,1,1,1,4,3,1,0,0,1,2,2,1,1,2,3,0
6.1,2.28571428571,2.3046094007,0,11,1.0,3.0,1.5,3,1,1,3,3,0,1,0,1,2,2,3,5,3,2,3,3,5,7,4,11,1,0,5,4,1,1,0,4,1,0,0,1,1,9,8,3,1,0,1,2,1,1,4,3,1,0,0,1,1,2,1,2,2,3,0
6.2,2.26785714286,2.27165037102,0,11,1.0,3.0,2.0,3,1,1,3,3,0,1,0,1,2,3,4,5,3,2,3,3,5,7,4,11,2,0,5,3,1,1,1,5,1,0,1,1,0,9,7,2,1,0,0,2,1,1,3,2,1,0,0,2,1,2,0,2,2,3,0
6.3,2.32142857143,2.10532609331,0,10,1.0,3.0,2.0,3,3,2,3,3,0,2,0,1,1,4,4,5,3,3,3,3,4,6,5,10,1,0,3,2,1,3,2,4,2,0,2,0,0,10,5,2,2,0,0,2,1,2,2,1,2,0,0,1,1,2,0,2,2,4,1
6.4,2.25,2.03759311794,0,10,1.0,3.0,2.0,2,2,2,3,3,0,1,0,1,1,4,4,5,3,3,3,3,4,6,4,10,1,0,2,1,2,2,3,4,2,1,2,0,0,10,4,2,2,0,0,2,1,2,1,0,2,1,1,2,1,2,0,2,2,4,1
6.5,2.67857142857,2.27648807578,0,12,1.0,3.0,2.0,2,2,2,4,3,0,1,0,1,2,4,5,6,3,3,4,3,6,6,6,12,2,0,3,2,2,2,2,4,3,0,3,0,0,10,4,3,2,0,0,3,3,3,2,1,2,2,1,3,1,2,0,3,2,4,1
6.6,2.55357142857,2.32163460624,0,12,1.0,3.25,2.0,1,2,3,1,3,0,0,0,2,4,3,4,5,2,5,4,3,5,7,4,12,2,0,2,1,2,2,3,4,4,0,3,0,0,10,4,3,2,0,0,2,3,2,1,2,2,2,2,3,0,2,0,1,2,6,1
6.7,2.64285714286,2.31785439137,0,11,1.0,4.0,2.0,1,3,4,1,4,0,1,0,2,4,3,3,4,2,4,4,3,5,6,6,11,2,0,2,1,1,2,2,5,3,0,3,0,0,11,5,2,2,0,1,2,3,2,1,2,3,2,2,4,0,2,1,2,1,7,1
6.8,2.625,2.43898764127,0,13,1.0,4.0,2.0,1,3,4,1,4,0,1,0,2,4,3,4,5,2,4,4,2,6,8,6,13,2,0,2,1,1,2,2,3,2,0,3,0,0,8,4,1,2,0,1,2,3,2,1,2,3,2,2,4,0,2,0,3,1,8,1
6.9,2.48214285714,2.345139894,0,12,1.0,3.0,2.0,1,2,4,0,4,0,1,0,3,3,2,4,6,1,3,3,2,5,8,5,12,2,1,2,2,1,2,2,3,3,0,3,0,0,8,4,1,2,0,1,2,3,1,1,2,3,2,2,4,0,2,0,2,0,8,1
7.0,2.64285714286,2.32554579944,0,12,1.0,3.0,2.0,1,2,4,0,4,0,1,0,3,3,2,4,5,2,4,3,2,5,7,6,12,2,1,3,3,1,2,2,3,3,0,3,0,1,8,5,1,2,0,2,2,3,2,2,2,3,2,2,4,0,2,0,2,0,9,1
7.1,2.92857142857,2.43381786249,0,11,1.0,4.0,2.5,1,2,5,0,4,0,1,0,3,3,2,4,5,3,6,3,2,5,7,5,11,3,1,6,5,1,2,2,3,3,1,3,0,1,8,5,1,4,0,2,2,3,2,4,3,3,2,2,4,0,2,0,2,0,11,1
7.2,2.80357142857,2.70198103817,0,12,1.0,4.0,2.0,1,2,6,1,4,0,1,0,3,3,0,4,6,3,7,3,2,5,7,6,12,3,1,6,4,1,2,0,3,2,1,1,0,1,8,5,1,4,0,2,1,1,2,3,1,3,2,2,4,0,2,0,2,0,12,1
7.3,2.71428571429,2.72366799499,0,13,1.0,4.0,2.0,1,2,6,1,4,0,2,0,3,4,1,3,5,2,6,3,2,6,8,5,13,2,1,5,4,0,1,0,4,3,1,1,0,1,9,4,1,4,0,2,1,1,2,3,1,3,1,1,3,0,2,0,2,0,11,1
7.4,2.76785714286,2.61855379544,0,12,1.0,4.0,2.0,2,2,6,2,5,0,2,1,3,3,1,3,5,2,6,2,2,5,7,5,12,2,1,5,4,0,1,0,4,3,1,0,0,1,9,4,1,4,0,2,1,1,4,4,1,5,1,1,3,0,1,1,2,0,11,1
7.5,2.98214285714,3.18753751479,0,15,1.0,4.0,2.0,2,2,6,1,5,0,2,0,3,1,1,2,7,2,7,2,1,7,10,5,15,2,1,5,4,0,1,0,4,2,1,1,0,1,8,4,1,4,0,2,1,1,5,4,1,8,2,1,3,0,2,1,2,0,13,1
7.6,2.71428571429,2.78204887059,0,12,1.0,5.0,2.0,2,2,6,1,5,0,2,0,2,0,0,2,5,2,7,2,1,6,7,5,12,1,1,4,5,1,2,0,4,1,1,1,1,1,8,4,0,5,0,2,1,1,5,5,2,6,1,1,1,0,2,1,2,0,12,1
7.7,2.78571428571,2.93813768589,0,14,1.0,4.0,2.0,3,2,6,1,4,0,2,0,2,1,0,2,5,2,7,2,2,8,7,6,14,1,1,4,4,1,3,0,4,1,1,1,0,1,8,3,0,5,0,2,1,1,5,4,1,6,1,1,1,0,2,1,3,0,12,1
7.8,2.78571428571,2.91372543634,0,13,1.0,4.0,2.0,3,2,7,2,4,0,2,0,2,0,0,2,5,2,8,3,2,7,7,5,13,0,1,4,5,1,3,0,3,1,1,1,0,2,7,4,0,4,0,2,1,1,4,3,1,7,1,2,1,0,2,1,2,0,13,2
